#,Job_ID,WeatherFile,ModelFile,@@EP9_IHG@@,@@EP10_VRate@@,@@EP11_Inf@@,@@EP12_C_SP@@,@@EP14_Gla@@,@@EP15_Rat@@,@@EP16_RA@@,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,Message,Warnings,Errors,Hours,Minutes,Seconds,c0: A1_Ele_Cool_[kWh],c1: A2_Ele_Fan_[kWh],c2: A3_Ele_Pumps_[kWh],c3: A4_Ele_Heat Rejection_[kWh],c4: A5_Ele_Plant[kWh],c5: A6_Ele_CoolEnTransfer[kWh],c6: A7_Ele_CoolCoil[kWh],c7: A8_Cool_Chiller[kWh],c8: A9_HRej[kWh],c9: P1_Ele_Cool_[W],c10: P2_Ele_Fan_[W],c11: P3_Ele_Pumps_[W],c12: P4_Ele_Heat Rejection_[W],c13: P5_Ele_Plant[W],c14: P6_Ele_CoolEnTransfer[W],c15: P7_Ele_CoolCoil[W],c16: P8_Cool_Chiller[W],c17: P9_HRej[W],c18: O1_Floor Area[m2],c19: O2_Time_PlantLoop,c20: O3_Time_SensLoads,c21: O4_Time_EleUse
20,Case21,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,80,0.0036667,0.00012,20,0.4,1,0.1,1,1,12,5.8889,27,3.6667,1.4,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,14.54,25114.89,1625.77,7467.97,53.89,32636.78,36953.6,38232.55,41040.04,73226.9,7149.75,185.59,1280.77,218.42,8648.93,22450.28,25982.79,26415.79,33565.54,160,0,0,0
21,Case22,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,80,0.0036667,0.00012,20,0.4,1,0.1,1,1,12,8.1111,27,3.6667,1.4,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,13.1,24663.75,1625.77,7467.97,51.37,32183.12,36953.21,38080.1,40885.69,73570.71,6671.46,185.59,1280.73,209.88,8162.07,22449.31,25183.55,25620.7,32292.16,160,0,0,0
22,Case23,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,41.111,0.0036667,0.00012,20,0.4,1,0.1,1,1,12,8.1111,27,3.6667,1.4,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,10.98,8778.46,1170.25,2945.97,16,11740.45,10471.69,10687.26,11711.26,24770.97,5081.65,133.59,1025.05,155.53,6262.22,16222.2,18635.19,18977.82,24059.47,160,0,0,0
23,Case24,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,41.111,0.0036667,0.00012,20,0.4,1,0.1,1,1,12,8.1111,27,3.6667,1.1778,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,11.04,7531.07,1170.25,2515.01,20.2,10066.29,10471.69,10687.26,11547.84,22170.83,4786.39,133.59,862.47,154.16,5803.02,16222.2,18635.19,18913.75,23700.14,160,0,0,0
24,Case25,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,41.111,0.0089444,0.00012,20,0.4,1,0.1,1,1,12,8.1111,27,3.6667,1.1778,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,9.13,5204.84,1763.35,2862.95,12.92,8080.72,6443.86,6340.15,6944.84,14770.35,7658.66,201.3,1518.48,236.56,9413.71,24539.85,28425.32,28899,36557.66,160,0,0,0
25,Case26,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,41.111,0.0089444,0.00012,20,0.4,1,5.6,1,1,12,8.1111,27,3.6667,1.1778,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.67,239548.47,84425.04,141287.7,566,381402.47,286246.64,281308.69,309243.15,674406.2,372378.75,9637.56,76542.19,11238.39,460159.32,1176329.15,1350295.06,1373944.36,1746323.11,8960,0,0,0
26,Case27,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,41.111,0.0089444,0.00012,20,0.4,1,5.6,1,1,12,8.1111,27,5.6111,1.1778,0.1,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.99,156522.38,84425.04,138095.79,476.6,295095.01,286246.64,281308.69,309243.15,591376.01,243339.3,9637.56,73242.7,10407.35,326989.36,1176329.15,1350295.06,1373944.36,1617283.66,8960,0,0,0
27,Case28,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0089444,0.00012,23.556,0.4,1,10,1,1,12,6.7778,27,4.4444,1.0889,0.16667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,8.08,17556.95,150463.98,164939.64,173.16,182669.91,58047.45,28399.79,30639.27,67717.16,247321.96,17176.25,63450.64,6436.38,317208.99,991043.42,1008336.45,1028227.91,1275549.87,16000,0,0,0
28,Case29,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,23.556,0.4,1,10,1,1,12,6.7778,27,4.4444,1.0889,0.16667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.87,12336.35,55371.86,49572.2,122.21,62030.81,36122.92,22863.57,24427.3,47987.67,125936.42,6320.99,31572.84,3371.09,160880.35,516617.54,522976.02,533061.64,658998.07,16000,0,0,0
29,Case30,cntr_Manchester_TRY.epw,FC_HVAC_System_Automatic_Par.imf,17.778,0.0036667,0.00012,23.556,0.4,1,10,1,1,12,6.7778,27,4.4444,1.3111,0.16667,1.1,50,EnergyPlus Completed Successfully,1,6,0,0,7.55,14653.43,55371.86,50403.01,131.38,65187.87,36122.92,22863.57,24749.48,55796.58,137854.72,6320.99,38011.81,3218.28,179084.82,516617.54,522976.02,535617.34,673472.06,16000,0,0,0
